iter	Passed	Remaining
518	625	579
519	626	577
520	627	576
521	628	575
522	629	573
523	630	572
524	631	571
525	632	570
526	633	568
527	634	567
528	635	565
529	636	564
530	637	563
531	638	561
532	639	560
533	640	558
534	641	557
535	642	556
536	643	554
537	644	553
538	645	552
539	646	551
540	647	549
541	648	548
542	650	547
543	651	545
544	652	544
545	653	543
546	654	541
547	655	540
548	656	539
549	657	537
550	658	536
551	659	535
552	660	533
553	661	532
554	662	530
555	663	529
556	664	528
557	665	526
558	666	525
559	667	524
560	668	522
561	669	521
562	670	520
563	671	518
564	672	517
565	673	516
566	674	514
567	675	513
568	676	512
569	677	510
570	677	509
571	678	508
572	679	506
573	681	505
574	682	504
575	683	502
576	684	501
577	685	500
578	686	498
579	687	497
580	688	496
581	689	494
582	690	493
583	690	492
584	691	490
585	692	489
586	694	488
587	695	487
588	696	485
589	697	484
590	698	483
591	699	482
592	700	480
593	701	479
594	702	478
595	703	476
596	704	475
597	705	474
598	706	473
599	707	471
600	708	470
601	709	469
602	710	467
603	711	466
604	712	465
605	713	464
606	714	462
607	715	461
608	716	460
609	717	458
610	718	457
611	719	456
612	720	455
613	721	453
614	722	452
615	723	451
616	724	449
617	725	448
618	726	447
619	727	446
620	728	444
621	729	443
622	730	442
623	731	440
624	732	439
625	733	438
626	734	437
627	735	435
628	736	434
629	737	433
630	738	432
631	739	430
632	740	429
633	741	428
634	742	427
635	743	425
636	745	424
637	746	423
638	747	422
639	748	420
640	749	419
641	750	418
642	751	417
643	752	415
644	753	414
645	754	413
646	755	411
647	756	410
648	757	409
649	758	408
650	759	407
651	760	405
652	761	404
653	762	403
654	763	402
655	764	400
656	765	399
657	766	398
658	767	397
659	768	395
660	769	394
661	770	393
662	771	392
663	772	390
664	773	389
665	774	388
666	775	387
667	776	385
668	777	384
669	778	383
670	779	382
671	780	381
672	781	379
673	782	378
674	783	377
675	784	376
676	785	374
677	786	373
678	787	372
679	788	371
680	789	369
681	790	368
682	791	367
683	792	366
684	793	365
685	794	363
686	795	362
687	796	361
688	797	360
689	798	358
690	799	357
691	800	356
692	801	355
693	802	354
694	803	352
695	804	351
696	805	350
697	806	349
698	807	347
699	808	346
700	809	345
701	811	344
702	812	343
703	813	341
704	814	340
705	815	339
706	816	338
707	817	337
708	818	335
709	819	334
710	820	333
711	821	332
712	822	331
713	823	329
714	824	328
715	825	327
716	826	326
717	827	325
718	828	323
719	829	322
720	830	321
721	831	320
722	832	319
723	833	317
724	834	316
725	835	315
726	836	314
727	837	313
728	838	311
729	839	310
730	840	309
731	841	308
732	842	307
733	843	305
734	844	304
735	845	303
736	846	302
737	847	301
738	848	299
739	849	298
740	850	297
741	851	296
742	853	295
743	854	293
744	855	292
745	856	291
746	857	290
747	858	289
748	872	292
749	874	291
750	875	290
751	876	289
752	878	288
753	879	287
754	881	285
755	882	284
756	883	283
757	885	282
758	886	281
759	887	280
760	889	279
761	890	278
762	892	277
763	893	275
764	894	274
765	896	273
766	897	272
767	898	271
768	900	270
769	915	273
770	916	272
771	918	271
772	919	270
773	927	270
774	929	269
775	942	272
776	944	270
777	945	269
778	946	268
779	948	267
780	949	266
781	951	265
782	952	263
783	953	262
784	955	261
785	956	260
786	957	259
787	959	258
788	960	256
789	961	255
790	963	254
791	964	253
792	965	252
793	967	250
794	968	249
795	970	248
796	971	247
797	972	246
798	974	245
799	975	243
800	977	242
801	978	241
802	979	240
803	981	239
804	982	238
805	984	236
806	985	235
807	986	234
808	988	233
809	989	232
810	991	230
811	992	229
812	993	228
813	995	227
814	996	226
815	997	224
816	998	223
817	1000	222
818	1001	221
819	1002	220
820	1003	218
821	1004	217
822	1005	216
823	1006	215
824	1007	213
825	1008	212
826	1009	211
827	1010	209
828	1011	208
829	1012	207
830	1013	206
831	1014	204
832	1016	203
833	1017	202
834	1018	201
835	1019	200
836	1020	198
837	1021	197
838	1022	196
839	1023	195
840	1024	193
841	1025	192
842	1027	191
843	1028	190
844	1029	188
845	1031	187
846	1039	187
847	1041	186
848	1042	185
849	1043	184
850	1045	182
851	1046	181
852	1048	180
853	1049	179
854	1051	178
855	1052	177
856	1053	175
857	1055	174
858	1056	173
859	1057	172
860	1058	170
861	1059	169
862	1060	168
863	1061	167
864	1063	165
865	1064	164
