iter	RMSE
0	0.7522286826
1	0.7302235675
2	0.7100690141
3	0.6912579612
4	0.6735049186
5	0.6560775058
6	0.6391167037
7	0.6228716125
8	0.607415614
9	0.5935374789
10	0.5792691394
11	0.5656038017
12	0.5535354217
13	0.5422514708
14	0.5301763392
15	0.5195366675
16	0.5093398638
17	0.4994227869
18	0.4895138626
19	0.4799575317
20	0.4711146158
21	0.462742455
22	0.4541111763
23	0.4472548574
24	0.4397522359
25	0.4327631235
26	0.4262994978
27	0.4199173957
28	0.414534874
29	0.408862556
30	0.4041977598
31	0.3992951536
32	0.394824499
33	0.3902818188
34	0.3864103954
35	0.3829008502
36	0.378737484
37	0.374490374
38	0.3706683
39	0.3676644303
40	0.3642939165
41	0.3609761943
42	0.3584122945
43	0.3554049111
44	0.3524200182
45	0.3495717951
46	0.3473010093
47	0.3450729105
48	0.3425224112
49	0.3405890469
50	0.338792818
51	0.3369273404
52	0.3352385976
53	0.3338404807
54	0.3318396378
55	0.3307142678
56	0.3290466453
57	0.3272022857
58	0.3257937122
59	0.32431691
60	0.3229714406
61	0.3210704696
62	0.3196836326
63	0.3181539184
64	0.3173187257
65	0.3161930475
66	0.3152455724
67	0.3141286561
68	0.3130568381
69	0.311827731
70	0.311025
71	0.310056188
72	0.3092645877
73	0.3082574456
74	0.3074389017
75	0.3065928555
76	0.305973512
77	0.3052442142
78	0.3045506403
79	0.3036792367
80	0.3031025608
81	0.3024087643
82	0.301572834
83	0.3009018442
84	0.3003551221
85	0.2997522856
86	0.299149986
87	0.2983680899
88	0.2977622597
89	0.296543263
90	0.2958893888
91	0.2955418388
92	0.2951397196
93	0.2945970986
94	0.2939687863
95	0.2935047783
96	0.2933226712
97	0.2930023785
98	0.2926236668
99	0.292168262
100	0.291613039
101	0.2906876122
102	0.290019947
103	0.2893106089
104	0.2888538593
105	0.2883359803
106	0.2879686358
107	0.2873934889
108	0.2870634699
109	0.2864544527
110	0.285918331
111	0.2855666557
112	0.2851189415
113	0.2846863931
114	0.2842017797
115	0.2838125955
116	0.283389843
117	0.282945229
118	0.2825715789
119	0.2822842319
120	0.2819786587
121	0.281494247
122	0.2811877246
123	0.2808287608
124	0.2805377919
125	0.2802042828
126	0.2797451463
127	0.2795292337
128	0.2793176151
129	0.2788599373
130	0.2782354646
131	0.2779033603
132	0.2774514001
133	0.2768853433
134	0.2765402352
135	0.2759406756
136	0.2757302333
137	0.2756067989
138	0.2753136955
139	0.2747931475
140	0.2745621691
141	0.2743810602
142	0.2742534675
143	0.2740071626
144	0.2737801635
145	0.2735780604
146	0.273323268
147	0.2731313172
148	0.272705482
149	0.2724343834
150	0.2720963918
151	0.2717794857
152	0.271383098
153	0.271172334
154	0.2709767018
155	0.2706223317
156	0.2701808905
157	0.2699522142
158	0.2697760589
159	0.2693344685
